src_id,dst_id
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,2
17,3
18,2
18,3
19,2
19,3
20,2
20,3
21,2
21,3
22,2
22,3
23,2
23,3
24,2
24,3
25,2
25,3
26,2
26,3
27,2
27,3
28,2
28,3
29,2
29,3
30,2
30,3
31,2
31,3
32,2
32,3
33,2
33,3
34,2
34,3
35,2
35,3
36,2
36,3
37,4
37,5
38,4
38,5
39,4
39,5
40,4
40,5
41,4
41,5
42,4
42,5
43,4
43,5
44,4
44,5
45,4
45,5
46,4
46,5
47,4
47,5
48,6
48,7
49,6
49,7
50,6
50,7
51,6
51,7
52,6
52,7
53,6
53,7
54,6
54,7
55,6
55,7
56,6
56,7
57,6
57,7
58,6
58,7
59,6
59,7
60,6
60,7
61,6
61,7
62,6
62,7
63,6
63,7
64,6
64,7
65,6
65,7
66,6
66,7
67,6
67,7
68,8
68,9
68,10
69,8
69,9
69,10
70,8
70,9
70,10
71,8
71,9
71,10
72,8
72,9
72,10
73,8
73,9
73,10
74,8
74,9
74,10
75,8
75,9
75,10
76,11
77,11
78,11
79,12
79,13
79,14
80,12
80,13
80,14
81,12
81,13
81,14
82,12
82,13
82,14
83,12
83,13
83,14
84,12
84,13
84,14
85,12
85,13
85,14
86,12
86,13
86,14
87,12
87,13
87,14
88,12
88,13
88,14
89,12
89,13
89,14
90,12
90,13
90,14
91,12
91,13
91,14
92,15
92,16
93,15
93,16
94,15
94,16
95,17
96,17
97,17
98,17
99,17
100,17
101,17
102,17
103,17
104,17
105,17
106,17
107,17
108,17
109,17
110,18
110,19
110,20
111,18
111,19
111,20
112,18
112,19
112,20
113,18
113,19
113,20
114,18
114,19
114,20
115,18
115,19
115,20
116,18
116,19
116,20
117,18
117,19
117,20
118,18
118,19
118,20
119,18
119,19
119,20
120,21
121,21
122,21
123,21
124,21
125,21
126,21
127,21
128,22
128,23
128,24
129,22
129,23
129,24
130,22
130,23
130,24
131,22
131,23
131,24
132,22
132,23
132,24
133,25
133,26
134,25
134,26
135,25
135,26
136,25
136,26
137,25
137,26
138,25
138,26
139,25
139,26
140,25
140,26
141,25
141,26
142,25
142,26
143,25
143,26
144,25
144,26
145,25
145,26
146,25
146,26
147,25
147,26
148,27
148,28
149,27
149,28
150,27
150,28
151,27
151,28
152,27
152,28
153,27
153,28
154,27
154,28
155,29
156,29
157,29
158,29
159,29
160,29
161,29
162,29
163,30
163,31
163,32
164,30
164,31
164,32
165,30
165,31
165,32
166,33
166,34
166,35
167,33
167,34
167,35
168,33
168,34
168,35
169,33
169,34
169,35
170,33
170,34
170,35
171,33
171,34
171,35
172,33
172,34
172,35
173,33
173,34
173,35
174,33
174,34
174,35
175,33
175,34
175,35
176,33
176,34
176,35
177,33
177,34
177,35
178,33
178,34
178,35
179,33
179,34
179,35
180,33
180,34
180,35
181,36
181,37
182,36
182,37
183,36
183,37
184,36
184,37
185,36
185,37
186,36
186,37
187,36
187,37
188,36
188,37
189,36
189,37
190,36
190,37
191,36
191,37
192,36
192,37
193,36
193,37
194,38
195,38
196,38
197,38
198,38
199,38
200,38
201,38
202,38
203,39
204,39
205,39
206,39
207,39
208,39
209,39
210,39
211,39
212,39
213,39
214,39
215,40
216,40
217,40
218,40
219,40
220,40
221,40
222,40
223,40
224,40
225,41
226,41
227,41
228,41
229,41
230,41
231,41
232,42
232,43
232,44
233,42
233,43
233,44
234,42
234,43
234,44
235,42
235,43
235,44
236,42
236,43
236,44
237,42
237,43
237,44
238,42
238,43
238,44
239,42
239,43
239,44
240,42
240,43
240,44
241,42
241,43
241,44
242,42
242,43
242,44
243,42
243,43
243,44
244,42
244,43
244,44
245,42
245,43
245,44
246,42
246,43
246,44
247,42
247,43
247,44
248,42
248,43
248,44
249,42
249,43
249,44
250,45
250,46
251,45
251,46
252,45
252,46
253,45
253,46
254,47
254,48
255,47
255,48
256,47
256,48
257,47
257,48
258,47
258,48
259,47
259,48
260,47
260,48
261,47
261,48
262,47
262,48
263,47
263,48
264,47
264,48
265,47
265,48
266,47
266,48
267,47
267,48
268,47
268,48
269,49
269,50
270,49
270,50
271,49
271,50
272,49
272,50
273,49
273,50
274,49
